nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,licenca,possui_ci_cd,total_linguagens
toeverything/AFFiNE,4.04,9350,574,0,TypeScript,0.8504,5151,Other,true,17
nektos/act,7.62,1061,97,6,Go,0.8057,2002,MIT License,true,4
binary-husky/gpt_academic,3.41,228,32,203,Python,0.8330,8330,GNU General Public License v3.0,true,5
Asabeneh/30-Days-Of-Python,6.74,144,0,4,Python,0.5056,13074,Não informado,false,4
666ghj/MiroFish,0.72,26,3,0,Python,0.8489,11055,GNU Affero General Public License v3.0,true,5
prakhar1989/awesome-courses,11.75,194,0,1200,Não informado,0.4767,8397,Não informado,false,0
ansible/ansible,14.45,40060,252,5,Python,0.9843,24316,GNU General Public License v3.0,false,7
swiftlang/swift,10.81,60645,70,0,Swift,0.5792,10789,Apache License 2.0,false,21
FoundationAgents/MetaGPT,3.13,673,22,207,Python,0.9825,8881,MIT License,true,5
expressjs/express,17.14,550,165,15,JavaScript,0.9742,24680,MIT License,true,1
base/node,3.54,275,86,25,Shell,0.9763,3254,MIT License,true,2
openinterpreter/openinterpreter,3.09,434,63,1,Rust,0.9973,5854,Apache License 2.0,true,16
ruvnet/ruflo,1.20,565,1000,0,TypeScript,0.6539,8140,MIT License,true,14
code-yeongyu/oh-my-openagent,0.70,2566,232,0,TypeScript,0.8196,5547,Other,true,10
chartjs/Chart.js,13.42,3018,117,81,JavaScript,0.9318,11942,MIT License,true,4
BurntSushi/ripgrep,10.43,571,75,12,Rust,0.9352,2713,The Unlicense,true,6
labmlai/annotated_deep_learning_paper_implementations,5.98,104,0,206,Python,0.8042,6744,MIT License,false,3
apache/echarts,13.37,1524,125,12,TypeScript,0.9295,19809,Apache License 2.0,true,5
gorhill/uBlock,11.38,0,288,0,JavaScript,0.9962,4276,GNU General Public License v3.0,true,7
scikit-learn/scikit-learn,16.00,14701,50,0,Python,0.8738,27293,"BSD 3-Clause ""New"" or ""Revised"" License",true,9
bradtraversy/design-resources-for-developers,6.28,978,0,84,Não informado,0.0000,12132,MIT License,false,0
colbymchenry/codegraph,0.57,458,30,8,C,0.7488,4209,MIT License,true,23
xtekky/gpt4free,3.38,911,503,3,Python,0.9990,13520,GNU General Public License v3.0,true,6
sindresorhus/awesome-nodejs,12.10,421,0,105,Não informado,0.9714,6224,Creative Commons Zero v1.0 Universal,false,0
headroomlabs-ai/headroom,0.61,1416,162,0,Python,0.7249,5107,Apache License 2.0,true,13
leonardomso/33-js-concepts,7.95,269,0,14,JavaScript,0.9917,9143,MIT License,true,1
cline/cline,2.11,4428,371,0,TypeScript,0.8517,7128,Apache License 2.0,true,8
TheAlgorithms/Java,10.08,2390,0,0,Java,0.9952,21250,MIT License,true,2
webpack/webpack,14.44,6337,462,0,JavaScript,0.9942,9529,MIT License,true,10
facebook/docusaurus,9.16,5848,157,3,TypeScript,0.9155,9998,MIT License,true,6
prometheus/prometheus,13.73,8818,376,1,Go,0.9213,10765,Apache License 2.0,true,12
LadybirdBrowser/ladybird,2.21,7999,0,0,C++,0.7452,3130,"BSD 2-Clause ""Simplified"" License",true,18
kelseyhightower/nocode,8.52,1,1,739,Dockerfile,0.1485,4820,Apache License 2.0,false,1
dani-garcia/vaultwarden,8.49,1165,85,3,Rust,0.9938,3114,GNU Affero General Public License v3.0,true,9
